headword,CEFR,lemma,pos
a,A1,a,PRON
a.m./A.M./am/AM,A1,a.m./A.M./am,PROPN
abandon,B1,abandon,PROPN
abandoned,B2,abandon,VERB
ability,A2,ability,NOUN
able,B1,able,ADJ
abnormal,B1,abnormal,ADJ
abnormally,B2,abnormally,ADV
aboard,B1,aboard,ADP
abolish,B2,abolish,VERB
aboriginal,B2,aboriginal,ADJ
aborigine,B1,aborigine,VERB
about,A1,about,ADV
about,A1,about,ADV
above,B1,above,ADV
above,A1,above,ADV
above,A1,above,ADV
abroad,A2,abroad,ADV
abruptly,B2,abruptly,ADV
absence,B1,absence,NOUN
absent,B1,absent,NOUN
absentee,B2,absentee,NOUN
absolute,B1,absolute,VERB
absolutely,B1,absolutely,ADV
absorb,B1,absorb,VERB
abstract,B1,abstract,ADJ
absurd,B2,absurd,ADJ
abundance,B1,abundance,NOUN
abundant,B1,abundant,ADJ
abuse,B2,abuse,NOUN
academic,B1,academic,ADJ
academy,B1,academy,PROPN
accent,B1,accent,ADJ
accept,A2,accept,VERB
acceptable,A2,acceptable,ADJ
acceptance,B1,acceptance,NOUN
access,B1,access,NOUN
access,B2,access,NOUN
accessibility,B2,accessibility,NOUN
accessible,B1,accessible,ADJ
accessory,B1,accessory,PROPN
accident,A2,accident,NOUN
accidental,B1,accidental,NOUN
accidentally,B1,accidentally,ADV
accommodation,B2,accommodation,NOUN
accompany,B1,accompany,VERB
accomplish,B1,accomplish,VERB
according to,B1,accord,VERB
accordingly,B2,accordingly,ADV
account,A2,account,VERB
account,B1,account,VERB
accountant,B1,accountant,NOUN
accumulate,B2,accumulate,VERB
accuracy,B1,accuracy,NOUN
accurate,B1,accurate,ADJ
accurately,B1,accurately,ADV
accusation,B2,accusation,NOUN
accuse,B1,accuse,VERB
accustom,B1,accustom,PROPN
ache,B1,ache,PROPN
ache,B2,ache,PROPN
achievable,B2,achievable,ADJ
achieve,A2,achieve,VERB
achievement,B1,achievement,NOUN
acid,B2,acid,NOUN
acknowledge,B1,acknowledge,VERB
acknowledgment/acknowledgement,B1,acknowledgment,NOUN
acquaintance,B1,acquaintance,NOUN
acquire,B1,acquire,VERB
acquisition,B2,acquisition,NOUN
across,A2,across,ADP
across,A2,across,ADP
act,A2,act,NOUN
act,B1,act,NOUN
action,A1,action,NOUN
active,B1,active,ADJ
actively,B2,actively,ADV
activity,A1,activity,NOUN
actor,A1,actor,NOUN
actress,B1,actress,NOUN
actual,B2,actual,ADJ
actually,A2,actually,ADV
acute,B2,acute,PROPN
ad,B1,ad,NOUN
adapt,B1,adapt,VERB
adaptable,B2,adaptable,ADJ
add,A1,add,VERB
addict,B2,addict,VERB
addicted,B2,addict,VERB
addiction,B2,addiction,NOUN
addition,A2,addition,NOUN
additional,A2,additional,ADJ
additionally,B2,additionally,ADV
address,A1,address,NOUN
address,B1,address,NOUN
addressee,B1,addressee,VERB
adequate,B2,adequate,ADJ
adequately,B2,adequately,ADV
adjective,A2,adjective,ADJ
adjust,A2,adjust,VERB
adjustment,B2,adjustment,NOUN
administration,B1,administration,NOUN
administrative,B2,administrative,ADJ
admirable,B2,admirable,ADJ
admiration,B1,admiration,NOUN
admire,A2,admire,PROPN
admiringly,B2,admiringly,ADV
admission,B1,admission,NOUN
admit,A2,admit,VERB
admittedly,B2,admittedly,ADV
adopt,B1,adopt,VERB
adopted,B2,adopt,VERB
adoption,B2,adoption,NOUN
adorable,B1,adorable,ADJ
adore,B2,adore,VERB
adorn,B2,adorn,VERB
adult,A2,adult,NOUN
adult,A2,adult,NOUN
advance,B2,advance,VERB
advance,B1,advance,VERB
advanced,A2,advance,VERB
advancement,B2,advancement,NOUN
advantage,A2,advantage,NOUN
advent,B2,advent,NOUN
adventure,A2,adventure,NOUN
adventurous,B2,adventurous,ADJ
adverb,B1,adverb,ADJ
adverbial,B1,adverbial,ADJ
adverse,B2,adverse,NOUN
adversely,B2,adversely,ADV
adversity,B2,adversity,NOUN
advert,B1,advert,NOUN
advertise,B1,advertise,VERB
advertisement,A2,advertisement,NOUN
advertising,A2,advertise,VERB
advice,A2,advice,NOUN
advise,A2,advise,VERB
adviser/advisor,B1,adviser,NOUN
aerobics,B1,aerobics,NOUN
affair,A2,affair,PROPN
affect,B1,affect,VERB
affection,B1,affection,NOUN
affectionate,B2,affectionate,VERB
affectionately,B2,affectionately,ADV
afford,B1,afford,VERB
affordable,B2,affordable,ADJ
afraid,A1,afraid,ADJ
after,A2,after,ADP
after,B1,after,ADP
after,A1,after,ADP
afternoon,A1,afternoon,NOUN
afterward,B1,afterward,ADV
afterwards,B1,afterwards,ADV
again,A1,again,ADV
against,A2,against,ADP
age,A1,age,NOUN
aged,A2,aged,ADJ
ageless,B2,ageless,ADV
agency,A2,agency,NOUN
agenda,B1,agenda,NOUN
agent,A2,agent,NOUN
aggressive,B1,aggressive,ADJ
aggressively,B2,aggressively,ADV
ago,A1,ago,ADV
agonize/agonise,B2,agonize,VERB
agony,B2,agony,NOUN
agree,A1,agree,VERB
agreement,B1,agreement,NOUN
agricultural,B1,agricultural,ADJ
agriculture,B1,agriculture,NOUN
ahead,A2,ahead,ADV
aid,B1,aid,NOUN
aid,B1,aid,NOUN
aim,B1,aim,VERB
aim,B2,aim,VERB
air,A2,air,NOUN
air conditioning,B1,air,NOUN
air force,B1,air,NOUN
aircraft,B2,aircraft,NOUN
aircrew,B2,aircrew,PROPN
airline,B1,airline,NOUN
airplane/aeroplane,A1,airplane,NOUN
airport,A1,airport,PROPN
aisle,A2,aisle,PROPN
alarm,A2,alarm,NOUN
alarm,B1,alarm,NOUN
alarm clock,A2,alarm,PROPN
album,A1,album,NOUN
alcohol,B1,alcohol,NOUN
alcoholic,B1,alcoholic,ADJ
alcoholic,B2,alcoholic,ADJ
alcoholism,B2,alcoholism,PROPN
alert,B2,alert,VERB
alike,B1,alike,ADV
alike,B1,alike,ADV
alive,A2,alive,ADJ
all,A2,all,PRON
all,A1,all,PRON
all,A1,all,PRON
all right,A1,all,ADV
all right,A1,all,ADV
allegation,B2,allegation,NOUN
allergic,B1,allergic,ADJ
alliance,B2,alliance,PROPN
allow,A2,allow,VERB
allowance,B1,allowance,NOUN
ally,B2,ally,NOUN
